Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,4,0.01,0.9099999999999999,0.508900184016334
75% Corpus,4,0.01,symmetric,0.4746792598861186
75% Corpus,4,0.31,0.01,0.4912025264601718
75% Corpus,4,0.31,0.31,0.4813699829307806
75% Corpus,4,0.31,0.61,0.5083773939281282
75% Corpus,4,0.31,0.9099999999999999,0.5099286360313542
75% Corpus,4,0.31,symmetric,0.47370689020442036
75% Corpus,4,0.61,0.01,0.5147543295306949
75% Corpus,4,0.61,0.31,0.5061890281184618
75% Corpus,4,0.61,0.61,0.48120952163445374
75% Corpus,4,0.61,0.9099999999999999,0.4586147652608453
75% Corpus,4,0.61,symmetric,0.47246673152309493
75% Corpus,4,0.9099999999999999,0.01,0.5088264196123329
75% Corpus,4,0.9099999999999999,0.31,0.5029808559104582
75% Corpus,4,0.9099999999999999,0.61,0.48582607834580926
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.48490037959912635
75% Corpus,4,0.9099999999999999,symmetric,0.5184407674755932
75% Corpus,4,symmetric,0.01,0.502227052204107
75% Corpus,4,symmetric,0.31,0.507051234254651
75% Corpus,4,symmetric,0.61,0.48374579960813335
75% Corpus,4,symmetric,0.9099999999999999,0.47732286899010395
75% Corpus,4,symmetric,symmetric,0.5061890281184618
75% Corpus,4,asymmetric,0.01,0.5095425309260441
75% Corpus,4,asymmetric,0.31,0.5064479671316982
75% Corpus,4,asymmetric,0.61,0.47355509126419576
75% Corpus,4,asymmetric,0.9099999999999999,0.48349431605533927
75% Corpus,4,asymmetric,symmetric,0.480003939834434
75% Corpus,5,0.01,0.01,0.4658215671149998
75% Corpus,5,0.01,0.31,0.47952288876450144
75% Corpus,5,0.01,0.61,0.4799164908995559
75% Corpus,5,0.01,0.9099999999999999,0.48200372047779216
75% Corpus,5,0.01,symmetric,0.474520591575753
75% Corpus,5,0.31,0.01,0.5006067451808032
75% Corpus,5,0.31,0.31,0.4787095946795672
75% Corpus,5,0.31,0.61,0.5001058363460135
75% Corpus,5,0.31,0.9099999999999999,0.4787288909897346
75% Corpus,5,0.31,symmetric,0.4769039641131033
75% Corpus,5,0.61,0.01,0.48399357537212573
75% Corpus,5,0.61,0.31,0.5015633287284091
75% Corpus,5,0.61,0.61,0.4891828224122966
75% Corpus,5,0.61,0.9099999999999999,0.4664743725214698
75% Corpus,5,0.61,symmetric,0.4789431776211416
75% Corpus,5,0.9099999999999999,0.01,0.48447364047665176
75% Corpus,5,0.9099999999999999,0.31,0.48621684110241115
75% Corpus,5,0.9099999999999999,0.61,0.4958730833311706
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.4946583458149412
75% Corpus,5,0.9099999999999999,symmetric,0.4954569256210803
75% Corpus,5,symmetric,0.01,0.48494361284986737
75% Corpus,5,symmetric,0.31,0.48728458106861244
75% Corpus,5,symmetric,0.61,0.47207279701486576
75% Corpus,5,symmetric,0.9099999999999999,0.48474630679758646
75% Corpus,5,symmetric,symmetric,0.4730815363673141
75% Corpus,5,asymmetric,0.01,0.47184157794775017
75% Corpus,5,asymmetric,0.31,0.4750564949891435
75% Corpus,5,asymmetric,0.61,0.45927298293855257
75% Corpus,5,asymmetric,0.9099999999999999,0.4752194714708476
75% Corpus,5,asymmetric,symmetric,0.4763368171119738
75% Corpus,6,0.01,0.01,0.5041966069489205
75% Corpus,6,0.01,0.31,0.492448237857239
75% Corpus,6,0.01,0.61,0.4770515772548884
75% Corpus,6,0.01,0.9099999999999999,0.4748161322254038
75% Corpus,6,0.01,symmetric,0.49969478211184204
75% Corpus,6,0.31,0.01,0.48396404644839924
75% Corpus,6,0.31,0.31,0.4946749789050657
75% Corpus,6,0.31,0.61,0.48334603004141363
75% Corpus,6,0.31,0.9099999999999999,0.4645131263471158
75% Corpus,6,0.31,symmetric,0.4991816584791679
