Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,9,0.31,0.31,0.5179445074399539
100% Corpus,9,0.31,0.61,0.5218730102013107
100% Corpus,9,0.31,0.9099999999999999,0.5306641868928731
100% Corpus,9,0.31,symmetric,0.5227485590282123
100% Corpus,9,0.61,0.01,0.5267787404695493
100% Corpus,9,0.61,0.31,0.5237155456922794
100% Corpus,9,0.61,0.61,0.5292303789812834
100% Corpus,9,0.61,0.9099999999999999,0.5318542904807617
100% Corpus,9,0.61,symmetric,0.5249067593103105
100% Corpus,9,0.9099999999999999,0.01,0.5155869768725001
100% Corpus,9,0.9099999999999999,0.31,0.5139382727669749
100% Corpus,9,0.9099999999999999,0.61,0.5303835042339939
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.5239181903080907
100% Corpus,9,0.9099999999999999,symmetric,0.5106044499431062
100% Corpus,9,symmetric,0.01,0.5205969172342055
100% Corpus,9,symmetric,0.31,0.5175604198100293
100% Corpus,9,symmetric,0.61,0.522326764935968
100% Corpus,9,symmetric,0.9099999999999999,0.5323497800635115
100% Corpus,9,symmetric,symmetric,0.5185457821992281
100% Corpus,9,asymmetric,0.01,0.5122193818826235
100% Corpus,9,asymmetric,0.31,0.5181061288592168
100% Corpus,9,asymmetric,0.61,0.5254680729876983
100% Corpus,9,asymmetric,0.9099999999999999,0.47704151920736504
100% Corpus,9,asymmetric,symmetric,0.5170634752194979
100% Corpus,10,0.01,0.01,0.537585515768691
100% Corpus,10,0.01,0.31,0.5410293889144173
100% Corpus,10,0.01,0.61,0.5440371667644204
100% Corpus,10,0.01,0.9099999999999999,0.5407214396028466
100% Corpus,10,0.01,symmetric,0.5281476318144075
100% Corpus,10,0.31,0.01,0.5410957905208351
100% Corpus,10,0.31,0.31,0.5462543564661237
100% Corpus,10,0.31,0.61,0.551923818260252
100% Corpus,10,0.31,0.9099999999999999,0.5496634097164896
100% Corpus,10,0.31,symmetric,0.5326484689385896
100% Corpus,10,0.61,0.01,0.5293399492736278
100% Corpus,10,0.61,0.31,0.5498314527486963
100% Corpus,10,0.61,0.61,0.5496421171879883
100% Corpus,10,0.61,0.9099999999999999,0.5518367183944262
100% Corpus,10,0.61,symmetric,0.5244915052703317
100% Corpus,10,0.9099999999999999,0.01,0.5253617557823167
100% Corpus,10,0.9099999999999999,0.31,0.5291793680239558
100% Corpus,10,0.9099999999999999,0.61,0.5478354396330711
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.5385351845417643
100% Corpus,10,0.9099999999999999,symmetric,0.5217278114991332
100% Corpus,10,symmetric,0.01,0.5405021254537207
100% Corpus,10,symmetric,0.31,0.5417515454587813
100% Corpus,10,symmetric,0.61,0.54516533348408
100% Corpus,10,symmetric,0.9099999999999999,0.5426024242103638
100% Corpus,10,symmetric,symmetric,0.5347577592294562
100% Corpus,10,asymmetric,0.01,0.5318904189913478
100% Corpus,10,asymmetric,0.31,0.5354165146011127
100% Corpus,10,asymmetric,0.61,0.5604293579888613
100% Corpus,10,asymmetric,0.9099999999999999,0.5248414395952757
100% Corpus,10,asymmetric,symmetric,0.5272387811942563
